timestamp_s,elapsed_s,lc_raw,lc_mv,enc_deg,enc_rev,enc_rpm
1778138138.0270,2.8400,223,0.0010,0.0,0.000,0
1778138138.0391,2.8521,-1013,-0.0047,0.0,0.000,0
1778138138.0473,2.8603,-44,-0.0002,0.0,0.000,0
1778138138.0595,2.8725,-479,-0.0022,0.0,0.000,0
1778138138.0681,2.8811,-1010,-0.0047,0.0,0.000,0
1778138138.0798,2.8928,126,0.0006,0.0,0.000,0
1778138138.0883,2.9013,-1160,-0.0054,0.0,0.000,0
1778138138.1004,2.9133,-186,-0.0009,0.0,0.000,0
1778138138.1088,2.9218,-67,-0.0003,0.0,0.000,0
1778138138.1209,2.9339,-1083,-0.0050,0.0,0.000,0
1778138138.1293,2.9422,288,0.0013,0.0,0.000,0
1778138138.1378,2.9507,-1166,-0.0054,0.0,0.000,0
1778138138.1496,2.9626,-249,-0.0012,0.0,0.000,0
1778138138.1616,2.9746,-107,-0.0005,0.0,0.000,0
1778138138.1702,2.9832,-1018,-0.0047,0.0,0.000,0
1778138138.1785,2.9914,358,0.0017,0.0,0.000,0
1778138138.1903,3.0032,-1204,-0.0056,0.0,0.000,0
1778138138.1990,3.0120,-253,-0.0012,0.0,0.000,0
1778138138.2110,3.0239,-184,-0.0009,0.0,0.000,0
1778138138.2194,3.0323,-990,-0.0046,0.0,0.000,0
1778138138.2312,3.0442,347,0.0016,0.0,0.000,0
1778138138.2398,3.0528,-867,-0.0040,0.0,0.000,0
1778138138.2482,3.0611,-285,-0.0013,0.0,0.000,0
1778138138.2601,3.0730,-419,-0.0020,0.0,0.000,0
1778138138.2688,3.0818,-1152,-0.0054,0.0,0.000,0
1778138138.2806,3.0936,317,0.0015,0.0,0.000,0
1778138138.2892,3.1022,-1033,-0.0048,0.0,0.000,0
1778138138.3011,3.1141,-484,-0.0023,0.0,0.000,0
1778138138.3094,3.1224,-505,-0.0024,0.0,0.000,0
1778138138.3179,3.1309,-998,-0.0046,0.0,0.000,0
1778138138.3299,3.1428,217,0.0010,0.0,0.000,0
1778138138.3384,3.1513,-907,-0.0042,0.0,0.000,0
1778138138.3503,3.1632,-270,-0.0013,0.0,0.000,0
1778138138.3591,3.1720,-245,-0.0011,0.0,0.000,0
1778138138.3707,3.1837,-930,-0.0043,0.0,0.000,0
1778138138.3794,3.1924,277,0.0013,0.0,0.000,0
1778138138.3874,3.2004,-1201,-0.0056,0.0,0.000,0
1778138138.3998,3.2128,-318,-0.0015,0.0,0.000,0
1778138138.4115,3.2244,-41,-0.0002,0.0,0.000,0
1778138138.4206,3.2335,-1116,-0.0052,0.0,0.000,0
1778138138.4285,3.2414,282,0.0013,0.0,0.000,0
1778138138.4406,3.2536,-1137,-0.0053,0.0,0.000,0
1778138138.4492,3.2621,-416,-0.0019,0.0,0.000,0
1778138138.4610,3.2740,64,0.0003,0.0,0.000,0
1778138138.4731,3.2860,-1249,-0.0058,0.0,0.000,0
1778138138.4811,3.2941,328,0.0015,0.0,0.000,0
1778138138.4897,3.3026,-993,-0.0046,0.0,0.000,0
1778138138.5018,3.3147,-419,-0.0020,0.0,0.000,0
1778138138.5105,3.3235,24,0.0001,0.0,0.000,0
1778138138.5221,3.3350,-1095,-0.0051,0.0,0.000,0
1778138138.5306,3.3435,185,0.0009,0.0,0.000,0
1778138138.5390,3.3520,-965,-0.0045,0.0,0.000,0
1778138138.5512,3.3642,-416,-0.0019,0.0,0.000,0
1778138138.5597,3.3726,-201,-0.0009,0.0,0.000,0
1778138138.5714,3.3843,-1089,-0.0051,0.0,0.000,0
1778138138.5805,3.3935,288,0.0013,0.0,0.000,0
1778138138.5920,3.4050,-920,-0.0043,0.0,0.000,0
1778138138.6006,3.4136,-428,-0.0020,0.0,0.000,0
1778138138.6122,3.4252,1,0.0000,0.0,0.000,0
1778138138.6208,3.4337,-1160,-0.0054,0.0,0.000,0
1778138138.6330,3.4460,25,0.0001,0.0,0.000,0
1778138138.6418,3.4548,-632,-0.0029,0.0,0.000,0
1778138138.6533,3.4662,-723,-0.0034,0.0,0.000,0
1778138138.6617,3.4746,150,0.0007,0.0,0.000,0
1778138138.6705,3.4834,-1173,-0.0055,0.0,0.000,0
1778138138.6823,3.4953,-7,-0.0000,0.0,0.000,0
1778138138.6908,3.5038,-710,-0.0033,0.0,0.000,0
1778138138.7026,3.5156,-743,-0.0035,0.0,0.000,0
1778138138.7110,3.5240,117,0.0005,0.0,0.000,0
1778138138.7229,3.5359,-1246,-0.0058,0.0,0.000,0
1778138138.7314,3.5443,316,0.0015,0.0,0.000,0
1778138138.7401,3.5530,-852,-0.0040,0.0,0.000,0
1778138138.7518,3.5648,-875,-0.0041,0.0,0.000,0
1778138138.7601,3.5731,217,0.0010,0.0,0.000,0
1778138138.7720,3.5849,-1141,-0.0053,0.0,0.000,0
1778138138.7805,3.5935,165,0.0008,0.0,0.000,0
1778138138.7926,3.6055,-814,-0.0038,0.0,0.000,0
1778138138.8012,3.6141,-761,-0.0035,0.0,0.000,0
1778138138.8131,3.6261,275,0.0013,0.0,0.000,0
1778138138.8213,3.6343,-1171,-0.0055,0.0,0.000,0
1778138138.8304,3.6434,184,0.0009,0.0,0.000,0
1778138138.8420,3.6549,-716,-0.0033,0.0,0.000,0
1778138138.8507,3.6636,-776,-0.0036,0.0,0.000,0
1778138138.8622,3.6751,-1,-0.0000,0.0,0.000,0
1778138138.8711,3.6840,-1281,-0.0060,0.0,0.000,0
1778138138.8827,3.6956,12,0.0001,0.0,0.000,0
1778138138.8913,3.7042,-828,-0.0039,0.0,0.000,0
1778138138.8995,3.7125,-428,-0.0020,0.0,0.000,0
1778138138.9115,3.7245,76,0.0004,0.0,0.000,0
1778138138.9204,3.7333,-1186,-0.0055,0.0,0.000,0
1778138138.9320,3.7450,127,0.0006,0.0,0.000,0
1778138138.9408,3.7537,-608,-0.0028,0.0,0.000,0
1778138138.9526,3.7655,-617,-0.0029,0.0,0.000,0
1778138138.9612,3.7741,203,0.0009,0.0,0.000,0
1778138138.9731,3.7860,-1156,-0.0054,0.0,0.000,0
1778138138.9813,3.7943,-92,-0.0004,0.0,0.000,0
1778138138.9934,3.8063,-463,-0.0022,0.0,0.000,0
1778138139.0019,3.8149,-717,-0.0033,0.0,0.000,0
1778138139.0103,3.8232,88,0.0004,0.0,0.000,0
1778138139.0225,3.8354,-1192,-0.0056,0.0,0.000,0
1778138139.0307,3.8437,37,0.0002,0.0,0.000,0
1778138139.0427,3.8557,-688,-0.0032,0.0,0.000,0
1778138139.0514,3.8644,-984,-0.0046,0.0,0.000,0
1778138139.0630,3.8759,114,0.0005,0.0,0.000,0
1778138139.0716,3.8845,-1337,-0.0062,0.0,0.000,0
1778138139.0804,3.8933,37,0.0002,0.0,0.000,0
1778138139.0921,3.9051,-597,-0.0028,0.0,0.000,0
1778138139.1039,3.9169,-813,-0.0038,0.0,0.000,0
1778138139.1127,3.9256,196,0.0009,0.0,0.000,0
1778138139.1211,3.9340,-1195,-0.0056,0.0,0.000,0
1778138139.1330,3.9459,-109,-0.0005,0.0,0.000,0
1778138139.1448,3.9577,-367,-0.0017,0.0,0.000,0
1778138139.1536,3.9666,-1090,-0.0051,0.0,0.000,0
1778138139.1618,3.9748,251,0.0012,0.0,0.000,0
1778138139.1739,3.9868,-1146,-0.0053,0.0,0.000,0
1778138139.1824,3.9954,-74,-0.0003,0.0,0.000,0
1778138139.1942,4.0071,-371,-0.0017,0.0,0.000,0
1778138139.2028,4.0157,-995,-0.0046,0.0,0.000,0
1778138139.2144,4.0274,160,0.0007,0.0,0.000,0
1778138139.2229,4.0359,-1129,-0.0053,0.0,0.000,0
1778138139.2350,4.0480,-336,-0.0016,0.0,0.000,0
1778138139.2433,4.0563,-681,-0.0032,0.0,0.000,0
1778138139.2518,4.0648,-1008,-0.0047,0.0,0.000,0
1778138139.2637,4.0766,238,0.0011,0.0,0.000,0
1778138139.2724,4.0853,-1011,-0.0047,0.0,0.000,0
1778138139.2842,4.0971,-199,-0.0009,0.0,0.000,0
1778138139.2926,4.1056,-677,-0.0032,0.0,0.000,0
1778138139.3009,4.1139,-962,-0.0045,0.0,0.000,0
1778138139.3132,4.1261,185,0.0009,0.0,0.000,0
1778138139.3250,4.1380,-979,-0.0046,0.0,0.000,0
1778138139.3335,4.1465,-111,-0.0005,0.0,0.000,0
1778138139.3422,4.1551,-342,-0.0016,0.0,0.000,0
1778138139.3538,4.1668,-1034,-0.0048,0.0,0.000,0
1778138139.3625,4.1755,124,0.0006,0.0,0.000,0
1778138139.3742,4.1871,-1150,-0.0054,0.0,0.000,0
1778138139.3831,4.1961,-126,-0.0006,0.0,0.000,0
1778138139.3947,4.2076,-468,-0.0022,0.0,0.000,0
1778138139.4035,4.2165,-1082,-0.0050,0.0,0.000,0
1778138139.4116,4.2246,103,0.0005,0.0,0.000,0
1778138139.4235,4.2365,-1131,-0.0053,0.0,0.000,0
1778138139.4320,4.2449,-113,-0.0005,0.0,0.000,0
1778138139.4440,4.2570,-418,-0.0019,0.0,0.000,0
1778138139.4524,4.2654,-1005,-0.0047,0.0,0.000,0
1778138139.4646,4.2776,289,0.0013,0.0,0.000,0
1778138139.4732,4.2861,-1182,-0.0055,0.0,0.000,0
1778138139.4850,4.2980,-288,-0.0013,0.0,0.000,0
1778138139.4937,4.3066,16,0.0001,0.0,0.000,0
1778138139.5052,4.3182,-1171,-0.0055,0.0,0.000,0
1778138139.5139,4.3269,268,0.0012,0.0,0.000,0
1778138139.5258,4.3388,-899,-0.0042,0.0,0.000,0
1778138139.5344,4.3473,-330,-0.0015,0.0,0.000,0
1778138139.5428,4.3558,-426,-0.0020,0.0,0.000,0
1778138139.5544,4.3674,-1112,-0.0052,0.0,0.000,0
1778138139.5630,4.3760,243,0.0011,0.0,0.000,0
